Country,Date,Cases
Australia,2020-04-01,4862
Italy,2020-04-01,110574
US,2020-04-01,227903
Vietnam,2020-04-01,218
Australia,2020-04-02,5116
Italy,2020-04-02,115242
US,2020-04-02,260183
Vietnam,2020-04-02,233
Australia,2020-04-03,5330
Italy,2020-04-03,119827
US,2020-04-03,292630
Vietnam,2020-04-03,237
Australia,2020-04-04,5550
Italy,2020-04-04,124632
US,2020-04-04,324340
Vietnam,2020-04-04,240
Australia,2020-04-05,5687
Italy,2020-04-05,128948
US,2020-04-05,353117
Vietnam,2020-04-05,241
Australia,2020-04-06,5797
Italy,2020-04-06,132547
US,2020-04-06,385110
Vietnam,2020-04-06,245
Australia,2020-04-07,5895
Italy,2020-04-07,135586
US,2020-04-07,415256
Vietnam,2020-04-07,249
Australia,2020-04-08,6010
Italy,2020-04-08,139422
US,2020-04-08,446500
Vietnam,2020-04-08,251
Australia,2020-04-09,6108
Italy,2020-04-09,143626
US,2020-04-09,482526
Vietnam,2020-04-09,255
Australia,2020-04-10,6215
Italy,2020-04-10,147577
US,2020-04-10,516707
Vietnam,2020-04-10,257
Australia,2020-04-11,6303
Italy,2020-04-11,152271
US,2020-04-11,545693
Vietnam,2020-04-11,258
Australia,2020-04-12,6315
Italy,2020-04-12,156363
US,2020-04-12,571551
Vietnam,2020-04-12,262
Australia,2020-04-13,6351
Italy,2020-04-13,159516
US,2020-04-13,598794
Vietnam,2020-04-13,265
Australia,2020-04-14,6415
Italy,2020-04-14,162488
US,2020-04-14,627306
Vietnam,2020-04-14,266
Australia,2020-04-15,6440
Italy,2020-04-15,165155
US,2020-04-15,653669
Vietnam,2020-04-15,267
Australia,2020-04-16,6462
Italy,2020-04-16,168941
US,2020-04-16,683351
Vietnam,2020-04-16,268
Australia,2020-04-17,6522
Italy,2020-04-17,172434
US,2020-04-17,716508
Vietnam,2020-04-17,268
Australia,2020-04-18,6568
Italy,2020-04-18,175925
US,2020-04-18,743857
Vietnam,2020-04-18,268
Australia,2020-04-19,6610
Italy,2020-04-19,178972
US,2020-04-19,768888
Vietnam,2020-04-19,268
Australia,2020-04-20,6623
Italy,2020-04-20,181228
US,2020-04-20,799531
Vietnam,2020-04-20,268
Australia,2020-04-21,6645
Italy,2020-04-21,183957
US,2020-04-21,825478
Vietnam,2020-04-21,268
Australia,2020-04-22,6652
Italy,2020-04-22,187327
US,2020-04-22,855445
Vietnam,2020-04-22,268
Australia,2020-04-23,6662
Italy,2020-04-23,189973
US,2020-04-23,887523
Vietnam,2020-04-23,268
Australia,2020-04-24,6677
Italy,2020-04-24,192994
US,2020-04-24,919014
Vietnam,2020-04-24,270
Australia,2020-04-25,6694
Italy,2020-04-25,195351
US,2020-04-25,949640
Vietnam,2020-04-25,270
Australia,2020-04-26,6714
Italy,2020-04-26,197675
US,2020-04-26,975537
Vietnam,2020-04-26,270
Australia,2020-04-27,6721
Italy,2020-04-27,199414
US,2020-04-27,1000230
Vietnam,2020-04-27,270
Australia,2020-04-28,6744
Italy,2020-04-28,201505
US,2020-04-28,1024834
Vietnam,2020-04-28,270
Australia,2020-04-29,6752
Italy,2020-04-29,203591
US,2020-04-29,1051643
Vietnam,2020-04-29,270
Australia,2020-04-30,6766
Italy,2020-04-30,205463
US,2020-04-30,1081150
Vietnam,2020-04-30,270
Australia,2020-05-01,6778
Italy,2020-05-01,207428
US,2020-05-01,1115972
Vietnam,2020-05-01,270
